Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"SORAFENIB 200 mg, comprimé pelliculé"
"SORBITOL DELALANDE 5 g, poudre pour solution buvable en sachet-dose"
"SORBITOL H2 PHARMA 5 g, poudre pour solution buvable en sachet"
"SORIATANE 10 mg, gélule"
"SORIATANE 25 mg, gélule"
"SOTALEX 160 mg, comprimé sécable"
"SOTALEX 80 mg, comprimé sécable"
"SOTALOL 160 mg, comprimé sécable"
"SOTALOL 80 mg, comprimé sécable"
"SOTYKTU 6 mg, comprimé pelliculé"
"SOVALDI 400 mg, comprimé pelliculé"
"SPACYR 2 mg/mL, solution injectable ou pour perfusion en seringue préremplie"
"SPAGULAX MUCILAGE PUR, granulés"
"SPAGULAX MUCILAGE PUR, granulés en sachet dose"
"SPAGULAX SANS SUCRE, poudre effervescente pour suspension buvable en sachet-dose"
"SPAGULAX, poudre effervescente pour suspension buvable en sachet dose"
"SPANOR 100 mg, comprimé pelliculé sécable"
"SPASFON LYOC 160 mg, lyophilisat oral"
"SPASFON LYOC 80 mg, lyophilisat oral"
"SPASFON, comprimé enrobé"
"SPASFON, solution injectable en ampoule"
"SPASFON, suppositoire"
"SPASMAG INJECTABLE, solution injectable (IV) en ampoule"
"SPASMAG, gélule"
"SPASMAG, solution buvable en ampoule"
"SPASMINE, comprimé enrobé"
"SPASMOCALM 80 mg, comprimé orodispersible"
"SPECIAFOLDINE 0,4 mg, comprimé"
"SPECIAFOLDINE 5 mg, comprimé"
"SPECTRILA 10 000 U, poudre pour solution à diluer pour perfusion"
"SPEDIFEN 200 mg, comprimé"
"SPEDIFEN 400 mg, comprimé pelliculé"
"SPEDIFEN 400 mg, granulés pour solution buvable en sachet-dose"
"SPEDRA 100 mg, comprimé"
"SPEDRA 200 mg, comprimé"
"SPEDRA 50 mg, comprimé"
"SPEVIGO 150 mg, solution injectable en seringue préremplie"
"SPEVIGO 450 mg, solution à diluer pour perfusion"
"SPEXOTRAS 0,05 mg/mL, poudre pour solution buvable"
"SPIFEN 200 mg, comprimé"
"SPIFEN 400 mg, comprimé pelliculé"
"SPIFEN 400 mg, granulés pour solution buvable en sachet-dose"
"SPIKEVAX 0,2 mg/mL, dispersion injectable. Vaccin à ARNm contre la COVID-19"
"SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 microgrammes/50 microgrammes)/ml, dispersion injectable, Vaccin à ARNm contre la COVID-19"
"SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 microgrammes/25 microgrammes, dispersion injectable. Vaccin à ARNm contre la COVID-19"
"SPINRAZA 12 mg, solution injectable"
"SPIOLTO RESPIMAT 2,5 microgrammes/2,5 microgrammes/ dose, solution à inhaler"
"SPIRAMYCINE 3 M.U.I, comprimé pelliculé"
"SPIRAMYCINE 3 M.U.I., comprimé pelliculé"
"SPIRAMYCINE METRONIDAZOLE 1,5 MUI/250 mg, comprimé pelliculé"
"SPIRAMYCINE/METRONIDAZOLE 1,5 M UI/250 mg, comprimé pelliculé"
"SPIRAMYCINE/METRONIDAZOLE 1,5 M.U.I./250 mg, comprimé pelliculé"
"SPIRAMYCINE/METRONIDAZOLE 750 000 UI/125 mg, comprimé pelliculé"
"SPIRAMYCINE/METRONIDAZOLE 750.000 UI/125 mg, comprimé pelliculé"
"SPIRAMYCINE/METRONIDAZOLE LA COLINA 1,5 M.U.I./250 mg, comprimé pelliculé"
"SPIRIVA 18 microgrammes, poudre pour inhalation en gélule"
"SPIRIVA RESPIMAT 2,5 microgrammes/dose, solution à inhaler"
"SPIROLEPT 200 millions U/ml, suspension injectable en seringue préremplie. Vaccin leptospires inactivé"
"SPIRONOLACTONE 25 mg, comprimé pelliculé sécable"
"SPIRONOLACTONE 25 mg, comprimé sécable"
"SPIRONOLACTONE 50 mg, comprimé pelliculé sécable"
"SPIRONOLACTONE 50 mg, comprimé sécable"
"SPIRONOLACTONE 75 mg, comprimé pelliculé"
"SPIRONOLACTONE 75 mg, comprimé pelliculé sécable"
"SPIRONOLACTONE 75 mg, comprimé sécable"
"SPIRONOLACTONE ALTIZIDE 25 mg/15 mg, comprimé pelliculé sécable"
"SPIRONOLACTONE ALTIZIDE 25 mg/15 mg, comprimé sécable"
"SPIRONOLACTONE ALTIZIDE PFIZER 25 mg/15 mg, comprimé sécable"
"SPIRONOLACTONE PFIZER 25 mg, comprimé sécable"
"SPIRONOLACTONE PFIZER 50 mg, comprimé sécable"
"SPIRONOLACTONE PFIZER 75 mg, comprimé sécable"
"SPLENOCARBINE 17 POUR CENT, granulé à croquer"
"SPORANOX 10 mg/mL, solution buvable"
"SPORANOX 100 mg, gélule"
"SPORTENINE, comprimé à croquer"
"SPOTOF 1 g/10 ml, solution buvable"
"SPRAVATO 28 mg, solution pour pulvérisation nasale"
"SPRYCEL 10 mg/mL, poudre pour suspension buvable"
"SPRYCEL 100 mg, comprimé pelliculé"
"SPRYCEL 140 mg, comprimé pelliculé"
"SPRYCEL 20 mg, comprimé pelliculé"
"SPRYCEL 50 mg, comprimé pelliculé"
"SPRYCEL 70 mg, comprimé pelliculé"
"STABLON 12,5 mg, comprimé enrobé"
"STAGID 700 mg, comprimé sécable"
"STALEVO 100 mg/25 mg/200 mg, comprimé pelliculé"
"STALEVO 125 mg/31,25 mg/200 mg, comprimé pelliculé"
"STALEVO 150 mg/37,5 mg/200 mg, comprimé pelliculé"
"STALEVO 175 mg/43,75 mg/200 mg, comprimé pelliculé"
"STALEVO 200 mg/50 mg/200 mg, comprimé pelliculé"
"STALEVO 50 mg/12,5 mg/200 mg, comprimé pelliculé"
"STALEVO 75 mg/18,75 mg/200 mg, comprimé pelliculé"
"STAMARIL, poudre et solvant pour suspension injectable en récipient multidose, Vaccin de la fièvre jaune (vivant)"
"STAMARIL, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin de la fièvre jaune (Vivant)"
"STELARA 130 mg, solution à diluer pour perfusion"
"STELARA 45 mg, solution injectable"
"STELARA 45 mg, solution injectable en seringue préremplie"
"STELARA 45 mg, solution injectable en stylo prérempli"
"STELARA 90 mg, solution injectable en seringue préremplie"
"STELARA 90 mg, solution injectable en stylo prérempli"
"STEOVESS 70 mg, comprimé effervescent"
"STEQEYMA 130 mg, solution à diluer pour perfusion"
"STEQEYMA 45 mg, solution injectable en seringue préremplie"
"STEQEYMA 90 mg, solution injectable en seringue préremplie"
"STERDEX, pommade ophtalmique en récipient unidose"
"STERILENE à 0,5 POUR CENT, solution pour application locale"
"STERILLIUM, solution pour application locale en flacon"
"STEROGYL 15 ""A"" 600 000 UI/1,5 ml, solution buvable en ampoule"
"STEROGYL 15 ""H"" 600 000 UI/1,5 ml, solution injectable IM en ampoule"
"STEROGYL 2 000 000 UI/100 ml, solution buvable en gouttes"
"STILNOX 10 mg, comprimé pelliculé sécable"
"STIMOL 1 g/10 ml, solution buvable en ampoule"
"STIMOL, solution buvable en sachet"
"STIMU GH 50 microgrammes, poudre et solvant pour solution injectable (IV)"
"STIMU-ACTH 100 microgrammes/mL, poudre et solvant pour solution injectable"
"STIMUFEND 6 mg, solution injectable en seringue préremplie"
"STIVARGA 40 mg, comprimé pelliculé"
"STODAL, granules"
"STODAL, sirop"
"STODALINE SANS SUCRE, sirop édulcoré au sorbitol et au maltitol liquide"
"STORINYL, sirop"
"STREFEN 8,75 mg ORANGE SANS SUCRE, pastille édulcorée à l'acésulfame potassique"
"STREFEN 8,75 mg, pastille"
"STRENSIQ 100 mg/ml, solution injectable"
"STRENSIQ 40 mg/ml, solution injectable"
"STREPSILS CITRON SANS SUCRE, pastille édulcorée à l'isomalt, au maltitol et à la saccharine sodique"
"STREPSILS FRAISE SANS SUCRE, pastille édulcorée à l'isomalt, au maltitol et à la saccharine sodique"
"STREPSILS LIDOCAINE, pastille"
"STREPSILS MENTHE GLACIALE, pastille à sucer"
"STREPSILS MIEL CITRON, pastille à sucer"
"STREPSILS ORANGE VITAMINE C, pastille"
"STREPSILSPRAY à la lidocaïne, collutoire"
"STRESAM, gélule"
"STRESSDORON, solution buvable en gouttes"
"STRIADYNE 20 mg/2 ml, solution injectable en ampoule"
"STRIASCAN 74 MBq/mL, solution injectable"
"STRIBILD 150 mg/150 mg/200 mg/245 mg, comprimé pelliculé"
"STRIVERDI RESPIMAT 2,5 microgrammes/dose, solution à inhaler"
"STROMECTOL 3 mg, comprimé"
"STRUCTOCAL VITAMINE D3 1000 mg/880 UI, comprimé à croquer"
"STRUCTOFLEX 625 mg, gélule"
"STRUCTUM 500 mg, gélule"
"SUBOXONE 2 mg/0,5 mg, comprimé sublingual"
"SUBOXONE 8 mg/2 mg, comprimé sublingual"
"SUBSOL 2 MMOL/L DE POTASSIUM, solution pour hémofiltration, hémodialyse et hémodiafiltration"
"SUBSOL 4 MMOL/L DE POTASSIUM, solution pour hémofiltration, hémodialyse et hémodiafiltration"
"SUBSOL SANS POTASSIUM, solution pour hémofiltration, hémodialyse et hémodiafiltration"
"SUBUTEX 0,4 mg, comprimé sublingual"
"SUBUTEX 2 mg, comprimé sublingual"
"SUBUTEX 8 mg, comprimé sublingual"
"SUCCICAPTAL 100 mg, gélule"
"SUCCICAPTAL 200 mg, gélule"
"SUFENTA 10 microgrammes/2 ml, solution injectable (I.V. ou péridurale)"
"SUFENTA 250 microgrammes/5 ml, solution injectable (I.V. ou péridurale) en ampoule"
"SUFENTA 50 microgrammes/10 ml, solution injectable (I.V.ou péridurale)"
"SUFENTANIL 5 microgrammes/ml, solution injectable (IV ou péridurale)"
"SUFENTANIL 50 microgrammes/ml, solution injectable (IV ou péridurale)"
"SUFENTANIL RENAUDIN 5 microgrammes/mL, solution injectable (IV ou péridurale)"
"SUFENTANIL RENAUDIN 50 microgrammes/mL, solution injectable (IV ou péridurale)"
"SUGAMMADEX 100 mg/mL, solution injectable"
"SUGAMMADEX ASPEN 100 mg/mL, solution injectable"
"SUGAMMADEX BAXTER 100 mg/ml, solution injectable"
"SUGAMMADEX FRESENIUS KABI 100 mg/mL, solution injectable"
"SUGAMMADEX KALCEKS 100 mg/1 mL, solution injectable"
"SUGAMMADEX PROVEPHARM 100 mg/mL, solution injectable"
"SUGAMMADEX QILU 100 mg/mL, solution injectable"
"SUGAMMADEX REDDY PHARMA 100 mg/mL, solution injectable"
"SUGAMMADEX REIG JOFRE 100 mg/mL, solution injectable"
"SUGAMMADEX SUN 100 mg/mL, solution injectable"
"SULFARLEM 12,5 mg, comprimé enrobé"
"SULFARLEM S 25 mg, comprimé enrobé"
"SULFATE DE MAGNESIUM LAVOISIER 15 POUR CENT (0,15 g/ml), solution injectable (I.V.) en ampoule"
"SULFATE DE MAGNESIUM PROAMP 0,15 g/ml, solution injectable"
"SULFATE DE MAGNESIUM RENAUDIN 10 %, solution injectable (IV)"
"SULFATE DE MAGNESIUM RENAUDIN 15 %, solution injectable (I.V.)"
"SULFUR COMPLEXE N°12, comprimé sublingual"
"SULFURE DE RHENIUM [186 Re], CIS bio international, suspension colloïdale injectable pour voie intra-articulaire [Référence : RE-186-MM-1]"
"SULPIRIDE 200 mg, comprimé sécable"
"SULPIRIDE 50 mg, gélule"
"SUMATRIPTAN 50 mg, comprimé"
"SUMATRIPTAN 50 mg, comprimé pelliculé sécable"
"SUMATRIPTAN SUN 3 mg/0,5 ml, solution injectable en seringue préremplie (voie SC)"
"SUMATRIPTAN SUN 6 mg/0,5 ml, solution injectable en seringue préremplie (voie SC)"
"SUNITINIB 12,5 mg, gélule"
"SUNITINIB 25 mg, gélule"
"SUNITINIB 37,5 mg, gélule"
"SUNITINIB 50 mg, gélule"
"SUNITINIB KRKA 12,5 mg, gélule"
"SUNITINIB KRKA 25 mg, gélule"
"SUNITINIB KRKA 50 mg, gélule"
"SUNLENCA 300 mg, comprimé pelliculé"
"SUNLENCA 464 mg, solution injectable"
"SUNOSI 150 mg, comprimé pelliculé"
"SUNOSI 75 mg, comprimé pelliculé"
"SUPPLIVEN, solution à diluer pour perfusion"
"SUPPOSITOIRE A LA GLYCERINE ADULTES GIPHAR GROUPE, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM NOURRISSONS, suppositoire en vrac"
"SUPPOSITOIRE A LA GLYCERINE ENFANTS GIFRER, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE GIFRER ADULTES, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE GIFRER NOURRISSONS, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE GILBERT ENFANTS, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE GILBERT NOURRISSONS, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE MAYOLY SPINDLER ADULTES, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE MAYOLY SPINDLER ENFANTS, suppositoire"
"SUPPOSITOIRE A LA GLYCERINE MAYOLY SPINDLER NOURRISSONS, suppositoire"
"SUPPOSITOIRES A LA GLYCERINE COOPER ADULTES, suppositoire en récipient multidose"
"SUPPOSITOIRES A LA GLYCERINE EVOLUPHARM ADULTES, suppositoire en récipient multidose"
"SUPPOSITOIRES A LA GLYCERINE GILBERT ADULTES, suppositoire"
SUPPOSITOIRES A LA GLYCERINE MONOT ADULTES
SUPPOSITOIRES A LA GLYCERINE MONOT ENFANTS
SUPPOSITOIRES A LA GLYCERINE MONOT NOURRISSONS
"SUPRANE, liquide pour inhalation par vapeur"
"SURBRONC EXPECTORANT AMBROXOL 30 mg, comprimé sécable"
"SURBRONC EXPECTORANT AMBROXOL SANS SUCRE, solution buvable édulcorée au sucralose"
"SURGAM 100 mg, comprimé sécable"
"SURGAM 200 mg, comprimé sécable"
"SURMONTIL 100 mg, comprimé pelliculé sécable"
"SURMONTIL 25 mg, comprimé"
"SURMONTIL 4 POUR CENT, solution buvable, flacon"
"SUSTIVA 100 mg, gélule"
"SUSTIVA 200 mg, gélule"
"SUSTIVA 50 mg, gélule"
"SUSTIVA 600 mg, comprimé pelliculé"
"SUTENT 12,5 mg, gélule"
"SUTENT 25 mg, gélule"
"SUTENT 50 mg, gélule"
"SUVREZA 10 mg/10 mg, comprimé pelliculé"
"SUVREZA 20 mg/10 mg, comprimé pelliculé"
"SUXAMETHONIUM 50 mg/mL, solution injectable/pour perfusion"
"SUXAMETHONIUM AGUETTANT 10 mg/mL, solution injectable en seringue préremplie"
"SUXAMETHONIUM ETHYPHARM 50 mg/ml, solution injectable"
"SYLVANT 100 mg, poudre pour solution à diluer pour perfusion"
"SYLVANT 400 mg, poudre pour solution à diluer pour perfusion"
"SYMBICORT RAPIHALER 100/3 microgrammes par dose, suspension pour inhalation en flacon pressurisé"
"SYMBICORT RAPIHALER 200/6 microgrammes par dose, suspension pour inhalation en flacon pressurisé"
"SYMBICORT TURBUHALER 100 microgrammes/6 microgrammes par dose, poudre pour inhalation"
"SYMBICORT TURBUHALER 200 microgrammes/6 microgrammes par dose, poudre pour inhalation"
"SYMBICORT TURBUHALER 400 microgrammes/12 microgrammes par dose, poudre pour inhalation"
"SYMKEVI 100 mg/150 mg, comprimé pelliculé"
"SYMKEVI 50 mg/75 mg, comprimé pelliculé"
"SYMPATHYL, comprimé enrobé"
"SYNACTHENE 0,25 mg/1 ml, solution injectable"
"SYNACTHENE RETARD 1 mg/1 ml, suspension injectable I.M."
"SYNAGIS 100 mg/ml, solution injectable"
"SYNAGIS 50 mg/0,5 ml, solution injectable"
"SYNAREL 0,2 mg/dose, solution pour pulvérisation nasale"
"SYNAZE 137 microgrammes/50 microgrammes, suspension pour pulvérisation nasale"
"SYNJARDY 12,5 mg/1000 mg, comprimé pelliculé"
"SYNJARDY 5 mg/1000 mg, comprimé pelliculé"
"SYNTHOL, gel"
"SYNTHOL, solution pour application cutanée"
"SYNTOCINON 5 U.I./1 ml, solution injectable en ampoule"
"TACHOSIL, matrice pour collage tissulaire"
"TADALAFIL 10 mg, comprimé pelliculé"
"TADALAFIL 10 mg, comprimé pelliculé sécable"
"TADALAFIL 2,5 mg, comprimé pelliculé"
"TADALAFIL 20 mg, comprimé pelliculé"
"TADALAFIL 20 mg, comprimé pelliculé sécable"
"TADALAFIL 5 mg, comprimé pelliculé"
"TADALAFIL KRKA 10 mg, comprimé pelliculé"
"TADALAFIL KRKA 20 mg, comprimé pelliculé sécable"
"TADALAFIL KRKA 5 mg, comprimé pelliculé sécable"
"TADALAFIL LILLY 10 mg, comprimé pelliculé"
"TADALAFIL LILLY 20 mg, comprimé pelliculé"
"TADALAFIL LILLY 5 mg, comprimé pelliculé"
"TADALAFIL PHARMA 10 mg, comprimé pelliculé"
"TADALAFIL PHARMA 20 mg, comprimé pelliculé"
"TADALAFIL PHARMA 5 mg, comprimé pelliculé"
"TADALAFIL QUIVER 20 mg, comprimé pelliculé"
"TADENAN 50 mg, capsule molle"
TADIM 1 million d'unités internationales (UI) poudre pour solution pour inhalation par nébuliseur
"TAFINLAR 50 mg, gélule"
"TAFINLAR 75 mg, gélule"
"TAGRISSO 40 mg, comprimé pelliculé"
"TAGRISSO 80 mg, comprimé pelliculé"
"TAHOR 10 mg, comprimé pelliculé"
"TAHOR 10 mg, comprimé à croquer"
"TAHOR 20 mg, comprimé pelliculé"
"TAHOR 20 mg, comprimé à croquer"
"TAHOR 40 mg, comprimé pelliculé"
"TAHOR 80 mg, comprimé pelliculé"
"TAKADOL 100 mg, comprimé effervescent sécable"
"TAKHZYRO 150 mg, solution injectable en seringue préremplie"
"TAKHZYRO 300 mg, solution injectable"
"TAKHZYRO 300 mg, solution injectable en seringue préremplie"
"TAKROZEM 0,1 %, pommade"
"TALMANCO 20 mg, comprimé pelliculé"
"TALOXA 600 mg, comprimé"
TALOXA 600 mg/5 ml suspension buvable
"TALTZ 80 mg, solution injectable en seringue préremplie"
"TALTZ 80 mg, solution injectable en stylo prérempli"
"TALZENNA 0,1 mg, gélule"
"TALZENNA 0,25 mg, gélule"
"TALZENNA 1 mg, gélule"
"TAMIFLU 30 mg, gélule"
"TAMIFLU 45 mg, gélule"
"TAMIFLU 6 mg/ml, poudre pour suspension buvable"
"TAMIFLU 75 mg, gélule"
"TAMOXIFENE 10 mg, comprimé"
"TAMOXIFENE 10 mg, comprimé pelliculé"
"TAMOXIFENE 20 mg, comprimé"
"TAMOXIFENE 20 mg, comprimé pelliculé"
"TAMSULOSINE FRANCE LP 0,4 mg, gélule à libération prolongée"
"TAMSULOSINE KRKA LP 0,4 mg, gélule à libération prolongée"
"TAMSULOSINE L.P. 0,4 mg, comprimé pelliculé à libération prolongée"
"TAMSULOSINE L.P. 0,4 mg, gélule à libération prolongée"
"TAMSULOSINE LP 0,4 mg, comprimé pelliculé à libération prolongée"
"TAMSULOSINE LP 0,4 mg, comprimé à libération prolongée"
"TAMSULOSINE LP 0,4 mg, gélule à libération prolongée"
"TAMSULOSINE LP 0.4 mg, comprimé à libération prolongée"
"TANAKAN 40 mg, comprimé enrobé"
"TANAKAN 40 mg/ml, solution buvable"
"TANGANIL 500 mg, comprimé"
"TANGANIL 500 mg/5 ml, solution injectable I.V. en ampoule"
"TANGANILPRO 500 mg, comprimé"
"TARCEVA 100 mg, comprimé pelliculé"
"TARCEVA 150 mg, comprimé pelliculé"
"TARCEVA 25 mg, comprimé pelliculé"
"TARDYFERON 20 mg/mL ENFANTS ET ADULTES, solution buvable"
"TARDYFERON 20 mg/mL NOURRISSONS, solution buvable"
"TARDYFERON 50 mg, comprimé pelliculé"
"TARDYFERON 80 mg, comprimé pelliculé"
"TARDYFERON B9, comprimé pelliculé"
"TAREG 160 mg, comprimé pelliculé"
"TAREG 3 mg/ml, solution buvable"
"TAREG 40 mg, comprimé pelliculé sécable"
"TAREG 80 mg, comprimé pelliculé"
"TARGOCID 100 mg, poudre et solvant pour solution injectable/pour perfusion ou solution buvable"
"TARGOCID 200 mg, poudre et solvant pour solution injectable/pour perfusion ou solution buvable"
"TARGOCID 400 mg, poudre et solvant pour solution injectable/pour perfusion ou solution buvable"
"TARGRETIN 75 mg, capsule molle"
"TARKA LP 180 mg/2 mg, comprimé pelliculé à libération prolongée"
"TARKA LP 240 mg/2 mg, comprimé pelliculé à libération prolongée"
"TARKA LP 240 mg/4 mg, comprimé pelliculé à libération prolongée"
"TASIGNA 150 mg, gélule"
"TASIGNA 200 mg, gélule"
"TASIGNA 50 mg, gélule"
"TASMAR 100 mg, comprimé pelliculé"
"TAUMEA, comprimé"
"TAVANIC 5 mg/ml, solution pour perfusion"
"TAVANIC 500 mg, comprimé pelliculé sécable"
"TAVLESSE 100 mg, comprimé pelliculé"
"TAVLESSE 150 mg, comprimé pelliculé"
"TAVNEOS 10 mg, gélule"
"TAXOTERE 160 mg/8 ml, solution à diluer pour perfusion"
"TAXOTERE 20 mg/1 ml, solution à diluer pour perfusion"
"TAXOTERE 80 mg/4 ml, solution à diluer pour perfusion"
"TAZOCILLINE 2 g/0,25 g, poudre pour solution pour perfusion"
"TAZOCILLINE 4 g/0,5 g, poudre pour solution pour perfusion"
"TCAPS 100 microgrammes, capsule molle"
"TCAPS 112 microgrammes, capsule molle"
"TCAPS 125 microgrammes, capsule molle"
"TCAPS 13 microgrammes, capsule molle"
"TCAPS 137 microgrammes, capsule molle"
"TCAPS 150 microgrammes, capsule molle"
"TCAPS 175 microgrammes, capsule molle"
"TCAPS 200 microgrammes, capsule molle"
"TCAPS 25 microgrammes, capsule molle"
"TCAPS 37,5 microgrammes, capsule molle"
"TCAPS 50 microgrammes, capsule molle"
"TCAPS 62,5 microgrammes, capsule molle"
"TCAPS 75 microgrammes, capsule molle"
"TCAPS 88 microgrammes, capsule molle"
"TECARTUS 0,4 - 2 x 100 000 000 cellules, dispersion pour perfusion"
"TECENTRIQ 1 875 mg, solution injectable"
"TECENTRIQ 1200 mg, solution à diluer pour perfusion"
"TECENTRIQ 840 mg, solution à diluer pour perfusion"
"TECFIDERA 120 mg, gélule gastro-résistante"
"TECFIDERA 240 mg, gélule gastro-résistante"
"TECHNESCAN LYOMAA, poudre pour suspension injectable. Trousse pour la préparation de macroagrégats dalbumine humaine technétiés (99mTc)"
"TECVAYLI 10 mg/mL, solution injectable"
"TECVAYLI 90 mg/mL, solution injectable"
"TEDRALAN 200 mg, gélule à libération prolongée"
"TEGELINE 50 mg/mL, poudre et solvant pour solution pour perfusion"
"TEGLUTIK 5 mg/ml, suspension buvable"
"TEGRETOL 20 mg/ml, suspension buvable"
"TEGRETOL 200 mg, comprimé sécable"
"TEGRETOL L.P. 200 mg, comprimé pelliculé sécable à libération prolongée"
"TEGRETOL L.P. 400 mg, comprimé pelliculé sécable à libération prolongée"
"TEGSEDI 284 mg, solution injectable en seringue préremplie"
"TEICOPLANINE 100 mg, poudre pour solution injectable/pour perfusion ou solution buvable"
"TEICOPLANINE 200 mg, poudre pour solution injectable/pour perfusion ou solution buvable"
"TEICOPLANINE 400 mg, poudre pour solution injectable/pour perfusion ou solution buvable"
"TEICOPLANINE ALTAN 200 mg, poudre pour solution injectable/pour perfusion ou solution buvable"
"TEICOPLANINE ALTAN 400 mg, poudre pour solution injectable/pour perfusion ou solution buvable"
"TEICOPLANINE HIKMA 200 mg, poudre pour solution injectable/pour perfusion ou solution buvable"
"TEICOPLANINE HIKMA 400 mg, poudre pour solution injectable/pour perfusion ou solution buvable"
"TELEBRIX 12 SODIUM (120 mg I/mL), solution pour administration intra-vésicale"
"TELEBRIX GASTRO (300 mg l/mL), solution pour administration par voie orale ou rectale"
"TELFAST 180 mg, comprimé pelliculé"
"TELMISARTAN 40 mg, comprimé"
"TELMISARTAN 40 mg, comprimé pelliculé"
"TELMISARTAN 40 mg, comprimé sécable"
"TELMISARTAN 80 mg, comprimé"
"TELMISARTAN 80 mg, comprimé pelliculé"
"TELMISARTAN 80 mg, comprimé sécable"
"TELMISARTAN/AMLODIPINE 40 mg/10 mg, comprimé"
"TELMISARTAN/AMLODIPINE 40 mg/5 mg, comprimé"
"TELMISARTAN/AMLODIPINE 80 mg/10 mg, comprimé"
"TELMISARTAN/AMLODIPINE 80 mg/5 mg, comprimé"
"TELMISARTAN/HYDROCHLOROTHIAZIDE 40 mg/12,5 mg, comprimé"
"TELMISARTAN/HYDROCHLOROTHIAZIDE 40 mg/12,5 mg, comprimé enrobé"
"TELMISARTAN/HYDROCHLOROTHIAZIDE 80 mg/12,5 mg, comprimé"
"TELMISARTAN/HYDROCHLOROTHIAZIDE 80 mg/12,5 mg, comprimé enrobé"
"TELMISARTAN/HYDROCHLOROTHIAZIDE 80 mg/25 mg, comprimé"
"TELMISARTAN/HYDROCHLOROTHIAZIDE 80 mg/25 mg, comprimé enrobé"
"TELZIR 50 mg/ml, suspension buvable"
"TELZIR 700 mg, comprimé pelliculé"
"TEMERIT 5 mg, comprimé quadrisécable"
"TEMERITDUO 5 mg/12,5 mg, comprimé pelliculé"
"TEMERITDUO 5 mg/25 mg, comprimé pelliculé"
"TEMESTA 1 mg, comprimé sécable"
"TEMESTA 2,5 mg, comprimé sécable"
"TEMGESIC 0,2 mg, comprimé sublingual"
"TEMGESIC 0,3 mg/ml, solution injectable"
"TEMODAL 100 mg, gélule"
"TEMODAL 140 mg, gélule"
"TEMODAL 180 mg, gélule"
"TEMODAL 2,5 mg/ml, poudre pour solution pour perfusion"
"TEMODAL 20 mg, gélule"
"TEMODAL 250 mg, gélule"
"TEMODAL 5 mg, gélule"
"TEMOZOLOMIDE 100 mg, gélule"
"TEMOZOLOMIDE 140 mg, gélule"
"TEMOZOLOMIDE 180 mg, gélule"
"TEMOZOLOMIDE 20 mg, gélule"
"TEMOZOLOMIDE 250 mg, gélule"
"TEMOZOLOMIDE 5 mg, gélule"
"TEMOZOLOMIDE SUN 100 mg, gélule"
"TEMOZOLOMIDE SUN 140 mg, gélule"
"TEMOZOLOMIDE SUN 180 mg, gélule"
"TEMOZOLOMIDE SUN 20 mg, gélule"
"TEMOZOLOMIDE SUN 250 mg, gélule"
"TEMOZOLOMIDE SUN 5 mg, gélule"
"TENKASI 1200 mg, poudre pour solution à diluer pour perfusion"
"TENKASI 400 mg, poudre pour solution à diluer pour perfusion"
"TENOFOVIR DISOPROXIL 163 mg, comprimé pelliculé"
"TENOFOVIR DISOPROXIL 204 mg, comprimé pelliculé"
"TENOFOVIR DISOPROXIL 245 mg, comprimé pelliculé"
"TENORETIC 50 mg/12,5 mg, comprimé pelliculé"
"TENORMINE 100 mg, comprimé pelliculé sécable"
"TENORMINE 5 mg/10 ml, solution injectable IV en ampoule"
"TENORMINE 50 mg, comprimé pelliculé sécable"
"TENSIONORME, comprimé sécable"
"TENSTATEN 50 mg, gélule"
"TEPADINA 100 mg, poudre pour concentré pour solution pour perfusion"
"TEPADINA 15 mg, poudre pour concentré pour solution pour perfusion"
"TEPADINA 200 mg, poudre et solvant pour solution pour perfusion"
"TEPADINA 400 mg, poudre et solvant pour solution pour perfusion"
"TEPKINLY 4 mg/0,8 mL, solution à diluer injectable"
"TEPKINLY 48 mg, solution injectable"
"TERALITHE 250 mg, comprimé sécable"
"TERALITHE LP 400 mg, comprimé sécable à libération prolongée"
"TERAZOSINE 5 mg, comprimé"
"TERBINAFINE 250 mg, comprimé"
"TERBINAFINE 250 mg, comprimé sécable"
"TERBINAFINE BAILLEUL 250 mg, comprimé"
"TERBINAFINE GENERIQUES 250 mg, comprimé sécable"
"TERBINAFINE PHARMA 250 mg, comprimé sécable"
"TERBUTALINE 5 mg/2 mL, solution pour inhalation par nébuliseur en récipient unidose"
"TERBUTALINE 5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose"
"TERCIAN 100 mg, comprimé pelliculé sécable"
"TERCIAN 25 mg, comprimé pelliculé sécable"
"TERCIAN 40 mg/ml, solution buvable en gouttes"
"TERCIAN 50 mg/5 ml, solution injectable en ampoule"
"TEREBYO 14 mg, comprimé pelliculé"
